timestamp,environment,temperature_C,humidity_percent,lux
2025-03-25T16:30:48.824006,Environment 1,23.56,48.16,381.54
2025-03-25T16:30:49.364970,Environment 2,23.23,48.88,313.8
2025-03-25T16:30:59.883372,Environment 1,23.57,47.86,407.35
2025-03-25T16:31:00.423656,Environment 2,23.24,48.82,336.38
2025-03-25T16:31:10.942299,Environment 1,23.58,47.87,463.1
2025-03-25T16:31:13.580283,Environment 1,23.58,47.93,462.64
2025-03-25T16:31:14.116674,Environment 2,23.25,48.67,341.91
2025-03-25T16:31:24.639319,Environment 1,23.58,47.98,418.87
2025-03-25T16:31:25.179306,Environment 2,23.26,48.76,335.0
2025-03-25T16:31:35.698465,Environment 1,23.59,48.31,480.15
2025-03-25T16:31:38.335980,Environment 1,23.59,48.25,479.69
2025-03-25T16:31:38.872826,Environment 2,23.27,49.05,374.17
2025-03-25T16:31:49.394768,Environment 1,23.6,48.43,480.15
2025-03-25T16:31:49.931317,Environment 2,23.27,49.12,374.63
2025-03-25T16:32:00.454438,Environment 1,23.61,48.35,479.69
2025-03-25T16:32:03.088051,Environment 1,23.61,48.23,478.77
2025-03-25T16:32:03.628715,Environment 2,23.28,49.05,373.71
2025-03-25T16:32:14.151206,Environment 1,23.61,48.41,480.61
2025-03-25T16:32:14.687374,Environment 2,23.27,49.12,374.63
2025-03-25T16:32:25.209910,Environment 1,23.6,48.23,479.23
2025-03-25T16:32:27.847837,Environment 1,23.6,48.11,479.23
2025-03-25T16:32:28.384230,Environment 2,23.29,48.79,373.71
2025-03-25T16:32:38.907105,Environment 1,23.59,48.05,480.15
2025-03-25T16:32:39.446992,Environment 2,23.3,48.79,374.63
2025-03-25T16:32:49.969948,Environment 1,23.61,47.78,480.61
2025-03-25T16:32:52.603977,Environment 1,23.6,47.73,480.61
2025-03-25T16:32:53.140519,Environment 2,23.28,48.37,375.09
2025-03-25T16:33:03.662439,Environment 1,23.6,47.75,472.32
2025-03-25T16:33:04.199641,Environment 2,23.28,48.41,369.1
2025-03-25T16:33:14.722065,Environment 1,23.59,47.67,431.77
2025-03-25T16:33:17.359926,Environment 1,23.59,47.79,467.25
2025-03-25T16:33:17.896410,Environment 2,23.28,48.4,362.19
2025-03-25T16:33:28.418929,Environment 1,23.61,48.49,475.55
2025-03-25T16:33:28.955314,Environment 2,23.29,49.0,370.94
2025-03-25T16:33:39.477894,Environment 1,23.59,48.43,475.08
2025-03-25T16:33:42.111737,Environment 1,23.61,48.36,476.01
2025-03-25T16:33:42.651804,Environment 2,23.28,49.18,369.56
2025-03-25T16:33:53.174310,Environment 1,23.6,48.71,498.12
2025-03-25T16:33:53.711303,Environment 2,23.29,49.45,371.87
2025-03-25T16:34:04.233861,Environment 1,23.61,48.96,303.21
2025-03-25T16:34:06.866826,Environment 1,23.62,49.08,354.36
2025-03-25T16:34:07.408283,Environment 2,23.3,49.97,267.72
2025-03-25T16:34:17.930245,Environment 1,23.64,49.12,442.83
2025-03-25T16:34:18.466910,Environment 2,23.3,49.85,335.92
2025-03-25T16:34:28.989034,Environment 1,23.65,49.02,322.1
2025-03-25T16:34:31.623317,Environment 1,23.65,48.92,411.03
2025-03-25T16:34:32.162989,Environment 2,23.32,49.6,313.8
2025-03-25T16:34:42.686615,Environment 1,23.66,48.79,412.42
2025-03-25T16:34:43.222384,Environment 2,23.32,49.58,273.72
2025-03-25T16:34:53.745030,Environment 1,23.67,49.17,425.78
2025-03-25T16:34:56.379042,Environment 1,23.67,49.13,426.7
2025-03-25T16:34:56.919380,Environment 2,23.31,49.93,338.69
2025-03-25T16:35:07.442513,Environment 1,23.68,49.31,346.06
2025-03-25T16:35:07.979065,Environment 2,23.32,50.07,258.51
2025-03-25T16:35:18.496396,Environment 1,23.67,49.21,339.61
2025-03-25T16:35:21.134418,Environment 1,23.68,49.19,445.59
2025-03-25T16:35:21.671280,Environment 2,23.32,50.02,343.3
2025-03-25T16:35:32.194316,Environment 1,23.7,49.5,472.32
2025-03-25T16:35:32.734610,Environment 2,23.34,50.45,353.43
2025-03-25T16:35:43.253486,Environment 1,23.69,49.94,480.15
2025-03-25T16:35:45.890622,Environment 1,23.69,49.86,481.08
2025-03-25T16:35:46.427806,Environment 2,23.34,50.59,357.58
2025-03-25T16:35:56.949884,Environment 1,23.69,49.81,485.68
2025-03-25T16:35:57.490807,Environment 2,23.34,50.63,364.95
2025-03-25T16:36:08.008890,Environment 1,23.7,49.91,485.22
2025-03-25T16:36:10.646509,Environment 1,23.69,49.86,483.38
2025-03-25T16:36:11.182896,Environment 2,23.34,50.72,361.27
2025-03-25T16:36:21.706144,Environment 1,23.69,49.82,496.74
2025-03-25T16:36:22.246774,Environment 2,23.35,50.76,369.56
2025-03-25T16:36:32.764539,Environment 1,23.7,49.78,464.49
2025-03-25T16:36:35.402789,Environment 1,23.71,49.82,483.38
2025-03-25T16:36:35.938905,Environment 2,23.36,50.85,366.8
2025-03-25T16:36:46.461356,Environment 1,23.73,50.09,495.36
2025-03-25T16:36:47.001597,Environment 2,23.36,51.07,369.1
2025-03-25T16:36:57.524521,Environment 1,23.74,50.14,468.17
2025-03-25T16:37:00.158727,Environment 1,23.72,50.23,458.96
2025-03-25T16:37:00.694833,Environment 2,23.35,51.23,355.28
2025-03-25T16:37:11.217899,Environment 1,23.73,50.13,493.06
2025-03-25T16:37:11.758513,Environment 2,23.38,51.01,369.56
2025-03-25T16:37:22.280739,Environment 1,23.74,50.68,488.45
2025-03-25T16:37:24.914586,Environment 1,23.74,50.5,423.94
2025-03-25T16:37:25.450941,Environment 2,23.38,51.17,330.85
2025-03-25T16:37:35.973819,Environment 1,23.75,50.37,510.57
2025-03-25T16:37:36.513634,Environment 2,23.38,51.32,379.7
2025-03-25T16:37:47.032825,Environment 1,23.74,50.27,511.03
2025-03-25T16:37:49.670303,Environment 1,23.76,50.21,511.49
2025-03-25T16:37:50.207239,Environment 2,23.38,51.03,379.7
2025-03-25T16:38:00.729192,Environment 1,23.76,50.26,511.03
2025-03-25T16:38:01.265472,Environment 2,23.4,50.97,380.16
2025-03-25T16:38:11.788806,Environment 1,23.76,50.21,510.57
2025-03-25T16:38:14.426111,Environment 1,23.76,50.25,511.03
2025-03-25T16:38:14.962508,Environment 2,23.39,51.14,379.7
2025-03-25T16:38:25.485444,Environment 1,23.76,50.34,511.95
2025-03-25T16:38:26.026017,Environment 2,23.41,51.12,379.7
2025-03-25T16:38:36.544682,Environment 1,23.75,50.27,511.49
2025-03-25T16:38:39.181815,Environment 1,23.76,50.17,511.95
2025-03-25T16:38:39.718276,Environment 2,23.41,51.04,379.7
2025-03-25T16:38:50.240667,Environment 1,23.74,49.92,511.49
2025-03-25T16:38:50.781834,Environment 2,23.4,50.61,380.62
2025-03-25T16:39:01.300496,Environment 1,23.75,49.63,500.43
2025-03-25T16:39:03.938163,Environment 1,23.75,49.53,499.51
2025-03-25T16:39:04.474006,Environment 2,23.4,50.28,373.25
2025-03-25T16:39:14.997431,Environment 1,23.75,50.23,500.43
2025-03-25T16:39:15.533627,Environment 2,23.39,51.04,372.79
2025-03-25T16:39:26.056196,Environment 1,23.74,50.36,507.8
2025-03-25T16:39:28.689899,Environment 1,23.74,50.4,511.49
2025-03-25T16:39:29.230589,Environment 2,23.39,51.39,379.7
2025-03-25T16:39:39.753220,Environment 1,23.74,50.41,511.95
2025-03-25T16:39:40.289536,Environment 2,23.39,51.29,379.7
2025-03-25T16:39:50.811858,Environment 1,23.73,50.18,511.95
2025-03-25T16:39:53.445850,Environment 1,23.74,50.15,512.41
2025-03-25T16:39:53.982654,Environment 2,23.39,51.05,379.7
2025-03-25T16:40:04.504556,Environment 1,23.74,50.08,512.41
2025-03-25T16:40:05.045770,Environment 2,23.38,50.92,380.62
2025-03-25T16:40:15.567758,Environment 1,23.74,50.12,493.98
2025-03-25T16:40:18.201150,Environment 1,23.73,50.1,455.73
2025-03-25T16:40:18.738537,Environment 2,23.38,51.03,365.88
2025-03-25T16:40:29.260336,Environment 1,23.73,50.15,513.79
2025-03-25T16:40:29.801482,Environment 2,23.38,51.19,382.46
