timestamp,environment,temperature_C,humidity_percent,lux
2025-03-25T17:44:37.033170,Environment 2,23.02,50.45,128.1
2025-03-25T17:44:47.555814,Environment 1,23.15,50.11,207.36
2025-03-25T17:44:50.189936,Environment 1,23.16,50.19,206.9
2025-03-25T17:44:50.730740,Environment 2,23.03,50.64,128.1
2025-03-25T17:45:01.252865,Environment 1,23.14,50.27,206.9
2025-03-25T17:45:01.789279,Environment 2,23.03,50.63,128.56
2025-03-25T17:45:12.311848,Environment 1,23.16,50.49,206.9
2025-03-25T17:45:14.945954,Environment 1,23.17,50.5,206.44
2025-03-25T17:45:15.486433,Environment 2,23.03,50.86,127.64
2025-03-25T17:45:26.008773,Environment 1,23.16,50.53,206.9
2025-03-25T17:45:26.545681,Environment 2,23.03,50.88,128.1
2025-03-25T17:45:37.068228,Environment 1,23.17,50.65,206.44
2025-03-25T17:45:39.701858,Environment 1,23.17,50.67,206.44
2025-03-25T17:45:40.242509,Environment 2,23.05,51.03,127.64
2025-03-25T17:45:50.764390,Environment 1,23.17,50.82,206.44
2025-03-25T17:45:51.300749,Environment 2,23.05,51.11,127.64
2025-03-25T17:46:01.823990,Environment 1,23.17,50.82,206.9
2025-03-25T17:46:04.457619,Environment 1,23.18,50.95,206.44
2025-03-25T17:46:04.998132,Environment 2,23.03,51.39,127.64
2025-03-25T17:46:15.516945,Environment 1,23.2,51.01,206.44
2025-03-25T17:46:16.057133,Environment 2,23.06,51.39,127.64
2025-03-25T17:46:26.579383,Environment 1,23.18,51.08,205.98
2025-03-25T17:46:29.213454,Environment 1,23.18,51.05,205.98
2025-03-25T17:46:29.750209,Environment 2,23.05,51.47,128.1
2025-03-25T17:46:40.272498,Environment 1,23.21,51.18,205.98
2025-03-25T17:46:40.812638,Environment 2,23.06,51.65,127.64
2025-03-25T17:46:51.331665,Environment 1,23.2,51.33,205.98
2025-03-25T17:46:53.969599,Environment 1,23.2,51.35,205.98
2025-03-25T17:46:54.505835,Environment 2,23.05,51.79,128.1
2025-03-25T17:47:05.028738,Environment 1,23.22,51.38,206.44
2025-03-25T17:47:05.569060,Environment 2,23.06,51.81,128.1
2025-03-25T17:47:16.090839,Environment 1,23.2,51.53,205.98
2025-03-25T17:47:18.725376,Environment 1,23.21,51.53,205.98
2025-03-25T17:47:19.266121,Environment 2,23.07,51.97,127.64
2025-03-25T17:47:29.784113,Environment 1,23.22,51.6,205.98
2025-03-25T17:47:30.325181,Environment 2,23.06,52.04,128.1
2025-03-25T17:47:40.842826,Environment 1,23.22,51.58,205.52
2025-03-25T17:47:43.481178,Environment 1,23.22,51.57,205.52
2025-03-25T17:47:44.017712,Environment 2,23.07,52.0,128.1
2025-03-25T17:47:54.539986,Environment 1,23.23,51.57,205.52
2025-03-25T17:47:55.077109,Environment 2,23.07,52.01,127.18
2025-03-25T17:48:05.598802,Environment 1,23.22,51.65,205.06
2025-03-25T17:48:08.232396,Environment 1,23.23,51.63,205.06
2025-03-25T17:48:08.773805,Environment 2,23.07,52.04,127.18
2025-03-25T17:48:19.295814,Environment 1,23.23,51.66,204.6
2025-03-25T17:48:19.832478,Environment 2,23.07,52.09,127.18
2025-03-25T17:48:30.355418,Environment 1,23.23,51.87,205.06
2025-03-25T17:48:32.989158,Environment 1,23.23,51.87,204.6
2025-03-25T17:48:33.529173,Environment 2,23.07,52.4,126.72
2025-03-25T17:48:44.051594,Environment 1,23.24,52.02,204.6
2025-03-25T17:48:44.588826,Environment 2,23.08,52.47,126.72
2025-03-25T17:48:55.111326,Environment 1,23.25,52.07,204.13
2025-03-25T17:48:57.744949,Environment 1,23.24,52.14,204.13
2025-03-25T17:48:58.284873,Environment 2,23.08,52.58,126.72
2025-03-25T17:49:08.807432,Environment 1,23.23,52.15,204.6
2025-03-25T17:49:09.344668,Environment 2,23.08,52.6,127.18
2025-03-25T17:49:19.867009,Environment 1,23.25,52.24,205.06
2025-03-25T17:49:22.499730,Environment 1,23.25,52.25,205.52
2025-03-25T17:49:23.040737,Environment 2,23.09,52.72,127.18
2025-03-25T17:49:33.563931,Environment 1,23.26,52.23,205.52
2025-03-25T17:49:34.100139,Environment 2,23.09,52.69,127.64
2025-03-25T17:49:44.623165,Environment 1,23.26,52.4,205.52
2025-03-25T17:49:47.260927,Environment 1,23.25,52.42,205.52
2025-03-25T17:49:47.796771,Environment 2,23.09,52.9,127.64
2025-03-25T17:49:58.319146,Environment 1,23.26,52.42,205.52
2025-03-25T17:49:58.855675,Environment 2,23.1,52.88,127.64
2025-03-25T17:50:09.378285,Environment 1,23.26,52.57,205.98
2025-03-25T17:50:12.012091,Environment 1,23.26,52.65,205.52
2025-03-25T17:50:12.552832,Environment 2,23.1,53.18,127.64
2025-03-25T17:50:23.070966,Environment 1,23.27,52.77,205.52
2025-03-25T17:50:23.612190,Environment 2,23.1,53.24,127.64
2025-03-25T17:50:34.134049,Environment 1,23.27,52.6,205.52
2025-03-25T17:50:36.768332,Environment 1,23.27,52.57,205.52
2025-03-25T17:50:37.309200,Environment 2,23.11,53.03,127.64
2025-03-25T17:50:47.826882,Environment 1,23.26,52.72,205.52
2025-03-25T17:50:48.368084,Environment 2,23.1,53.25,127.64
2025-03-25T17:50:58.889993,Environment 1,23.28,53.01,205.52
2025-03-25T17:51:01.524453,Environment 1,23.27,53.02,205.06
2025-03-25T17:51:02.065023,Environment 2,23.11,53.5,127.64
2025-03-25T17:51:12.583650,Environment 1,23.27,53.01,204.6
2025-03-25T17:51:13.123958,Environment 2,23.12,53.46,127.18
2025-03-25T17:51:23.646666,Environment 1,23.28,52.97,204.6
2025-03-25T17:51:26.280411,Environment 1,23.27,52.98,204.6
2025-03-25T17:51:26.820910,Environment 2,23.12,53.47,127.18
2025-03-25T17:51:37.338631,Environment 1,23.28,53.1,204.13
2025-03-25T17:51:37.879203,Environment 2,23.12,53.58,126.72
2025-03-25T17:51:48.398152,Environment 1,23.29,53.06,203.67
2025-03-25T17:51:51.036250,Environment 1,23.29,53.07,203.67
2025-03-25T17:51:51.572398,Environment 2,23.12,53.6,126.72
2025-03-25T17:52:02.094861,Environment 1,23.3,53.14,203.67
2025-03-25T17:52:02.631880,Environment 2,23.11,53.64,126.26
2025-03-25T17:52:13.153592,Environment 1,23.28,53.21,203.67
2025-03-25T17:52:15.788058,Environment 1,23.3,53.21,203.21
2025-03-25T17:52:16.327880,Environment 2,23.11,53.72,126.26
2025-03-25T17:52:26.851202,Environment 1,23.3,53.22,202.75
2025-03-25T17:52:27.387766,Environment 2,23.12,53.74,125.8
2025-03-25T17:52:37.910330,Environment 1,23.28,53.28,201.83
2025-03-25T17:52:40.543540,Environment 1,23.28,53.25,201.83
2025-03-25T17:52:41.084603,Environment 2,23.12,53.72,125.34
2025-03-25T17:52:51.606670,Environment 1,23.29,53.37,201.83
2025-03-25T17:52:52.142831,Environment 2,23.11,53.83,125.8
2025-03-25T17:53:02.665669,Environment 1,23.28,53.49,201.37
2025-03-25T17:53:05.299673,Environment 1,23.28,53.51,201.37
2025-03-25T17:53:05.840185,Environment 2,23.12,53.96,125.34
2025-03-25T17:53:16.363017,Environment 1,23.29,53.59,200.91
2025-03-25T17:53:16.899595,Environment 2,23.12,54.05,124.88
2025-03-25T17:53:27.421574,Environment 1,23.28,53.56,200.91
2025-03-25T17:53:30.055387,Environment 1,23.27,53.55,200.91
2025-03-25T17:53:30.596004,Environment 2,23.12,54.02,124.88
2025-03-25T17:53:41.114168,Environment 1,23.28,53.66,200.45
2025-03-25T17:53:41.655407,Environment 2,23.13,54.1,124.42
2025-03-25T17:53:52.177175,Environment 1,23.29,53.73,200.45
2025-03-25T17:53:54.811651,Environment 1,23.29,53.71,200.45
2025-03-25T17:53:55.347451,Environment 2,23.12,54.23,124.42
2025-03-25T17:54:05.870265,Environment 1,23.29,53.76,200.45
2025-03-25T17:54:06.410609,Environment 2,23.13,54.25,124.88
2025-03-25T17:54:16.932952,Environment 1,23.3,53.78,200.45
2025-03-25T17:54:19.567310,Environment 1,23.29,53.75,200.45
2025-03-25T17:54:20.102998,Environment 2,23.14,54.23,124.42
2025-03-25T17:54:30.626724,Environment 1,23.3,53.65,200.45
2025-03-25T17:54:31.166373,Environment 2,23.13,54.17,124.88
2025-03-25T17:54:41.689456,Environment 1,23.3,53.72,199.99
2025-03-25T17:54:44.322579,Environment 1,23.31,53.71,200.45
2025-03-25T17:54:44.859443,Environment 2,23.14,54.19,124.42
2025-03-25T17:54:55.382028,Environment 1,23.31,53.68,199.53
2025-03-25T17:54:55.923183,Environment 2,23.13,54.17,123.96
2025-03-25T17:55:06.444860,Environment 1,23.34,53.59,199.53
2025-03-25T17:55:09.078711,Environment 1,23.32,53.63,199.53
2025-03-25T17:55:09.619828,Environment 2,23.15,54.14,123.96
2025-03-25T17:55:20.142194,Environment 1,23.31,53.65,199.53
2025-03-25T17:55:20.678929,Environment 2,23.14,54.13,123.96
2025-03-25T17:55:31.200687,Environment 1,23.31,53.63,199.99
2025-03-25T17:55:33.835381,Environment 1,23.31,53.65,200.45
2025-03-25T17:55:34.375274,Environment 2,23.16,54.12,124.88
2025-03-25T17:55:44.893831,Environment 1,23.34,53.74,199.99
2025-03-25T17:55:45.434957,Environment 2,23.15,54.23,124.42
2025-03-25T17:55:55.953356,Environment 1,23.35,53.82,200.45
2025-03-25T17:55:58.591007,Environment 1,23.34,53.82,199.99
2025-03-25T17:55:59.127813,Environment 2,23.15,54.32,124.42
2025-03-25T17:56:09.650204,Environment 1,23.34,53.8,200.45
2025-03-25T17:56:10.190710,Environment 2,23.16,54.31,124.88
2025-03-25T17:56:20.708742,Environment 1,23.34,53.78,200.91
2025-03-25T17:56:23.342032,Environment 1,23.34,53.75,200.45
2025-03-25T17:56:23.883610,Environment 2,23.16,54.26,125.34
2025-03-25T17:56:34.405985,Environment 1,23.34,53.77,201.37
2025-03-25T17:56:34.942675,Environment 2,23.16,54.27,124.88
2025-03-25T17:56:45.464584,Environment 1,23.35,53.73,200.91
2025-03-25T17:56:48.098167,Environment 1,23.37,53.71,200.91
2025-03-25T17:56:48.639346,Environment 2,23.17,54.21,125.34
2025-03-25T17:56:59.161821,Environment 1,23.36,53.67,200.91
2025-03-25T17:56:59.698177,Environment 2,23.18,54.2,125.34
2025-03-25T17:57:10.220724,Environment 1,23.37,53.62,201.37
2025-03-25T17:57:12.853960,Environment 1,23.38,53.62,201.37
2025-03-25T17:57:13.394526,Environment 2,23.18,54.17,125.34
2025-03-25T17:57:23.917533,Environment 1,23.38,53.65,200.45
2025-03-25T17:57:24.453975,Environment 2,23.18,54.22,125.34
2025-03-25T17:57:34.976134,Environment 1,23.37,53.56,200.45
2025-03-25T17:57:37.610295,Environment 1,23.39,53.52,199.99
2025-03-25T17:57:38.150247,Environment 2,23.2,54.04,124.88
2025-03-25T17:57:48.673860,Environment 1,23.39,53.57,200.45
2025-03-25T17:57:49.210437,Environment 2,23.2,54.06,125.34
2025-03-25T17:57:59.732780,Environment 1,23.38,53.55,200.45
2025-03-25T17:58:02.370500,Environment 1,23.39,53.54,200.45
2025-03-25T17:58:02.907215,Environment 2,23.22,54.04,125.34
2025-03-25T17:58:13.429536,Environment 1,23.39,53.48,200.45
2025-03-25T17:58:13.966005,Environment 2,23.2,54.0,125.34
2025-03-25T17:58:24.488943,Environment 1,23.39,53.49,200.45
2025-03-25T17:58:27.122047,Environment 1,23.4,53.5,200.91
2025-03-25T17:58:27.662825,Environment 2,23.22,54.04,125.34
2025-03-25T17:58:38.181445,Environment 1,23.39,53.5,200.91
2025-03-25T17:58:38.722048,Environment 2,23.22,54.03,125.8
2025-03-25T17:58:49.244298,Environment 1,23.42,53.58,200.45
2025-03-25T17:58:51.878284,Environment 1,23.41,53.56,200.45
2025-03-25T17:58:52.418936,Environment 2,23.22,54.09,125.34
2025-03-25T17:59:02.941511,Environment 1,23.41,53.58,200.45
2025-03-25T17:59:03.477467,Environment 2,23.22,54.1,125.34
2025-03-25T17:59:14.000176,Environment 1,23.42,53.56,199.99
2025-03-25T17:59:16.633567,Environment 1,23.41,53.57,199.99
2025-03-25T17:59:17.174835,Environment 2,23.24,54.11,125.34
2025-03-25T17:59:27.697369,Environment 1,23.43,53.47,199.99
2025-03-25T17:59:28.234037,Environment 2,23.23,54.03,125.34
2025-03-25T17:59:38.756020,Environment 1,23.42,53.44,200.45
2025-03-25T17:59:41.389841,Environment 1,23.43,53.45,199.99
2025-03-25T17:59:41.930001,Environment 2,23.24,54.01,125.8
2025-03-25T17:59:52.452679,Environment 1,23.42,53.49,200.45
2025-03-25T17:59:52.989450,Environment 2,23.25,54.03,125.8
2025-03-25T18:00:03.512129,Environment 1,23.43,53.57,199.53
2025-03-25T18:00:06.145084,Environment 1,23.44,53.53,199.99
2025-03-25T18:00:06.682788,Environment 2,23.25,54.09,125.34
2025-03-25T18:00:17.204651,Environment 1,23.43,53.52,199.99
2025-03-25T18:00:17.745098,Environment 2,23.25,54.04,125.34
2025-03-25T18:00:28.264177,Environment 1,23.44,53.53,199.53
2025-03-25T18:00:30.901584,Environment 1,23.44,53.52,199.53
2025-03-25T18:00:31.437694,Environment 2,23.26,54.04,125.34
2025-03-25T18:00:41.960439,Environment 1,23.44,53.47,199.07
2025-03-25T18:00:42.501344,Environment 2,23.26,53.98,124.88
2025-03-25T18:00:53.019771,Environment 1,23.44,53.36,199.99
2025-03-25T18:00:55.656852,Environment 1,23.44,53.35,199.99
2025-03-25T18:00:56.194269,Environment 2,23.26,53.89,124.88
2025-03-25T18:01:06.716421,Environment 1,23.46,53.39,199.99
2025-03-25T18:01:07.256746,Environment 2,23.27,53.96,125.34
2025-03-25T18:01:17.776135,Environment 1,23.45,53.36,200.45
2025-03-25T18:01:20.413798,Environment 1,23.46,53.32,200.45
2025-03-25T18:01:20.949772,Environment 2,23.26,53.86,125.34
2025-03-25T18:01:31.472629,Environment 1,23.46,53.36,199.99
2025-03-25T18:01:32.013420,Environment 2,23.27,53.9,125.34
2025-03-25T18:01:42.531929,Environment 1,23.46,53.35,199.99
2025-03-25T18:01:45.169036,Environment 1,23.46,53.36,199.99
2025-03-25T18:01:45.706154,Environment 2,23.27,53.9,125.8
2025-03-25T18:01:56.228721,Environment 1,23.47,53.36,198.6
2025-03-25T18:01:56.764630,Environment 2,23.28,53.89,124.42
2025-03-25T18:02:07.287665,Environment 1,23.47,53.33,198.6
2025-03-25T18:02:09.924855,Environment 1,23.49,53.31,198.6
2025-03-25T18:02:10.461266,Environment 2,23.29,53.85,124.88
2025-03-25T18:02:20.984533,Environment 1,23.49,53.3,197.68
2025-03-25T18:02:21.521035,Environment 2,23.3,53.82,123.96
2025-03-25T18:02:32.043246,Environment 1,23.49,53.2,197.68
2025-03-25T18:02:34.677448,Environment 1,23.49,53.19,197.22
2025-03-25T18:02:35.218027,Environment 2,23.3,53.75,123.03
2025-03-25T18:02:45.740140,Environment 1,23.51,53.16,196.76
2025-03-25T18:02:46.277021,Environment 2,23.3,53.7,123.03
2025-03-25T18:02:56.799023,Environment 1,23.49,53.11,196.3
2025-03-25T18:02:59.433260,Environment 1,23.5,53.07,196.3
2025-03-25T18:02:59.973063,Environment 2,23.3,53.56,123.03
2025-03-25T18:03:10.496164,Environment 1,23.51,53.04,196.76
2025-03-25T18:03:11.033006,Environment 2,23.3,53.55,123.49
2025-03-25T18:03:21.555483,Environment 1,23.5,53.12,197.68
2025-03-25T18:03:24.189025,Environment 1,23.5,53.14,198.14
2025-03-25T18:03:24.729119,Environment 2,23.31,53.68,124.42
2025-03-25T18:03:35.248130,Environment 1,23.5,53.09,199.07
2025-03-25T18:03:35.788884,Environment 2,23.3,53.65,124.88
2025-03-25T18:03:46.307229,Environment 1,23.51,53.01,199.53
2025-03-25T18:03:48.945081,Environment 1,23.5,52.99,199.99
2025-03-25T18:03:49.480817,Environment 2,23.31,53.53,125.8
2025-03-25T18:04:00.004080,Environment 1,23.51,53.02,198.6
2025-03-25T18:04:00.544462,Environment 2,23.3,53.55,124.88
2025-03-25T18:04:11.063091,Environment 1,23.52,52.99,199.53
2025-03-25T18:04:13.700741,Environment 1,23.53,52.97,199.53
2025-03-25T18:04:14.237399,Environment 2,23.3,53.51,125.34
2025-03-25T18:04:24.759520,Environment 1,23.52,53.04,199.07
2025-03-25T18:04:25.299734,Environment 2,23.31,53.58,124.88
2025-03-25T18:04:35.819062,Environment 1,23.51,53.04,198.14
2025-03-25T18:04:38.456884,Environment 1,23.52,53.03,198.6
2025-03-25T18:04:38.993756,Environment 2,23.31,53.57,124.88
2025-03-25T18:04:49.515900,Environment 1,23.52,52.91,198.6
2025-03-25T18:04:50.055815,Environment 2,23.32,53.48,125.8
2025-03-25T18:05:00.575039,Environment 1,23.53,52.91,199.99
2025-03-25T18:05:03.212201,Environment 1,23.53,52.9,200.45
2025-03-25T18:05:03.748772,Environment 2,23.32,53.44,126.26
2025-03-25T18:05:14.270978,Environment 1,23.52,52.88,200.91
2025-03-25T18:05:14.808530,Environment 2,23.34,53.45,126.72
2025-03-25T18:05:25.330934,Environment 1,23.54,52.88,200.91
2025-03-25T18:05:27.968694,Environment 1,23.53,52.88,200.45
2025-03-25T18:05:28.505244,Environment 2,23.34,53.46,126.26
2025-03-25T18:05:39.023751,Environment 1,23.55,52.86,199.99
2025-03-25T18:05:39.564077,Environment 2,23.34,53.43,126.72
2025-03-25T18:05:50.085906,Environment 1,23.53,52.83,200.91
2025-03-25T18:05:52.720286,Environment 1,23.54,52.83,200.91
